"filename", "language", "C++", "comment", "blank", "total"
"/home/amir_hs/Рабочий стол/proga/language/backend/main.cpp", "C++", 6, 1, 4, 11
"/home/amir_hs/Рабочий стол/proga/language/backend/read_tree.cpp", "C++", 203, 9, 87, 299
"/home/amir_hs/Рабочий стол/proga/language/lang/alloc_funcs.cpp", "C++", 29, 3, 14, 46
"/home/amir_hs/Рабочий стол/proga/language/lang/ast_to_file.cpp", "C++", 81, 5, 29, 115
"/home/amir_hs/Рабочий стол/proga/language/lang/calc_init.cpp", "C++", -6, 0, 0, -6
"/home/amir_hs/Рабочий стол/proga/language/lang/lang.h", "C++", -16, -1, -4, -21
"/home/amir_hs/Рабочий стол/proga/language/lang/lang_types.h", "C++", 2, 0, 0, 2
"/home/amir_hs/Рабочий стол/proga/language/lang/lexica_lang.cpp", "C++", -30, -2, -10, -42
"/home/amir_hs/Рабочий стол/proga/language/lang/main.cpp", "C++", 0, 0, 6, 6
"/home/amir_hs/Рабочий стол/proga/language/lang/musor.cpp", "C++", -90, -11, -45, -146
"/home/amir_hs/Рабочий стол/proga/language/lang/name_tables.cpp", "C++", 48, 5, 8, 61
"/home/amir_hs/Рабочий стол/proga/language/lang/parser_tools.cpp", "C++", 92, 11, 46, 149
"/home/amir_hs/Рабочий стол/proga/language/lang/syntax_lang.cpp", "C++", 182, 3, 97, 282
"/home/amir_hs/Рабочий стол/proga/language/tree/tree_init_alloc.cpp", "C++", -32, -3, -6, -41
"/home/amir_hs/Рабочий стол/proga/language/tree/tree_types.h", "C++", 6, 1, 3, 10
"Total", "-", 475, 21, 229, 725
